emp_no,first_name,last_name,birth_date,from_date,to_date,title
74598,Kolar,Garigliano,1965-01-07,1992-05-10,1999-03-07,Senior Staff
74668,Masako,Bonifati,1965-01-01,1987-04-09,9999-01-01,Senior Staff
75113,Zissis,Birch,1965-01-22,1994-08-19,2000-07-15,Engineer
75354,Shuky,Jakobus,1965-01-11,1986-06-16,9999-01-01,Engineer
76178,Chiradeep,Meriste,1965-01-19,1988-05-23,1997-06-25,Senior Engineer
76189,Kolar,Hinsberger,1965-01-02,1986-10-20,9999-01-01,Senior Engineer
76598,Keung,Ferriere,1965-01-24,1991-05-13,1995-10-08,Engineer
77030,Faiza,Garnham,1965-01-02,1986-03-02,9999-01-01,Technique Leader
77303,Xinglin,Birge,1965-01-18,1992-03-05,9999-01-01,Senior Staff
78086,Fabrizio,Anick,1965-01-20,1997-12-16,1998-05-02,Staff
78106,Ashish,Ratnaker,1965-01-09,2000-01-17,9999-01-01,Senior Staff
78871,Conor,Ghandeharizadeh,1965-01-15,1985-05-25,9999-01-01,Senior Engineer
79043,Katsuo,Hockney,1965-01-24,1999-11-07,9999-01-01,Technique Leader
79239,Denny,Griswold,1965-01-07,1989-05-18,2001-11-19,Senior Engineer
79310,Jeong,Cunliffe,1965-01-24,1996-10-27,9999-01-01,Senior Staff
79606,Arnd,Peir,1965-01-03,1986-12-11,9999-01-01,Senior Engineer
79763,Sanjoy,Barreiro,1965-01-20,1988-04-09,9999-01-01,Senior Staff
79895,Fei,Murtagh,1965-01-30,1986-01-19,9999-01-01,Senior Staff
80067,Kazuhisa,Weiland,1965-01-19,1985-11-09,9999-01-01,Senior Staff
80731,Shaowen,Eldridge,1965-01-25,1987-12-05,9999-01-01,Staff
80889,Shigeo,Linnainmaa,1965-01-07,1985-07-30,9999-01-01,Senior Engineer
81105,Jaewon,Boissier,1965-01-14,1992-05-24,9999-01-01,Senior Engineer
81619,Gen,Aloisi,1965-01-12,1985-03-12,2002-07-25,Engineer
81995,Sreekrishna,Brender,1965-01-10,1990-03-22,9999-01-01,Engineer
82919,Shigeu,Claffy,1965-01-05,1998-12-19,9999-01-01,Engineer
83544,Leaf,Baak,1965-01-18,1994-09-05,9999-01-01,Senior Staff
83805,Manohar,Harllee,1965-01-23,1987-03-11,9999-01-01,Senior Engineer
83922,Shunichi,Solovay,1965-01-10,1986-06-07,1998-11-18,Senior Engineer
84236,Eberhardt,Barriga,1965-01-18,1987-06-04,9999-01-01,Senior Staff
84451,Shiv,Aumann,1965-01-20,1998-06-14,9999-01-01,Senior Engineer
84494,Janalee,Loncour,1965-01-02,1986-04-12,1987-09-04,Staff
84922,Parke,Unno,1965-01-22,1996-07-01,9999-01-01,Engineer
84942,Shin,Fujisaki,1965-01-15,1988-02-23,9999-01-01,Technique Leader
85702,Udi,Merks,1965-01-04,1997-08-15,9999-01-01,Engineer
85874,Pasqua,Taubman,1965-01-30,1986-06-23,9999-01-01,Senior Staff
86213,Kristine,Clemencon,1965-01-28,1993-06-01,9999-01-01,Senior Staff
86324,Maia,Berstel,1965-01-14,1997-09-29,2002-01-13,Engineer
86422,Jaewon,Thummel,1965-02-01,1985-09-14,9999-01-01,Senior Staff
86546,Oldrich,Woycyznski,1965-01-09,1985-05-15,9999-01-01,Engineer
86672,JoAnne,Anido,1965-01-15,1995-09-15,9999-01-01,Staff
87729,Yongmin,Roccetti,1965-01-24,1986-12-10,9999-01-01,Staff
87783,Conor,Thorensen,1965-01-26,1988-02-24,9999-01-01,Senior Engineer
88411,Lena,Cannane,1965-01-31,2000-01-28,9999-01-01,Engineer
88422,Jungsoon,Birsak,1965-01-28,1985-04-03,9999-01-01,Technique Leader
89048,Otmar,Birjandi,1965-01-24,1985-03-23,9999-01-01,Senior Engineer
89680,Aiman,Mawatari,1965-01-27,1988-05-01,9999-01-01,Engineer
89922,Alexius,Ibel,1965-01-26,1988-04-24,9999-01-01,Engineer
90077,Vivian,Guerreiro,1965-01-24,1991-07-08,9999-01-01,Engineer
90116,Brigham,Luiz,1965-01-11,1990-04-10,1995-06-10,Assistant Engineer
90518,Fumiko,Chepyzhov,1965-01-24,1988-01-28,9999-01-01,Staff
90614,Yonghoan,Trogemann,1965-01-29,1988-09-23,9999-01-01,Engineer
90692,Rajmohan,DasSarma,1965-01-03,1985-09-14,9999-01-01,Staff
91172,Kazuhisa,Melter,1965-01-19,1987-07-16,9999-01-01,Senior Staff
91182,Lucien,Schwartzburd,1965-01-04,1988-08-25,9999-01-01,Senior Engineer
91229,Yahiko,Hebden,1965-01-01,1996-10-03,9999-01-01,Senior Engineer
91308,Remmert,Plumb,1965-01-23,1986-06-14,1995-12-08,Engineer
91415,Jamaludin,Nilsson,1965-01-04,1987-01-15,9999-01-01,Senior Staff
91648,Dmitry,Msuda,1965-01-29,1988-10-22,9999-01-01,Senior Staff
91973,Jianwen,Jakobus,1965-01-25,1998-08-24,2001-02-12,Senior Engineer
92438,Aria,Kilgore,1965-01-04,1989-02-27,1992-04-11,Engineer
92454,Visit,McFarlan,1965-01-24,1987-10-22,9999-01-01,Engineer
92846,Anyuan,Kropatsch,1965-01-11,1986-09-05,9999-01-01,Senior Staff
92920,Huei,Hutter,1965-01-20,1993-01-28,9999-01-01,Senior Engineer
93220,Richara,Walston,1965-01-11,1996-08-27,9999-01-01,Senior Engineer
93278,Magdalena,Penn,1965-02-01,1997-01-04,9999-01-01,Engineer
93549,Arie,Coullard,1965-02-01,2000-03-28,9999-01-01,Senior Staff
93600,Kristina,Neimat,1965-01-13,1988-04-18,9999-01-01,Technique Leader
94761,Hitofumi,Zaccaria,1965-01-27,1988-11-22,9999-01-01,Senior Engineer
94944,Heping,Matheson,1965-01-13,1988-06-24,9999-01-01,Senior Engineer
95286,Kristin,Guerreiro,1965-01-18,1989-08-23,9999-01-01,Engineer
95692,Abdulah,Hofstetter,1965-01-20,1999-11-24,2000-05-24,Engineer
96100,Pranay,Rebaine,1965-01-11,1998-02-01,2000-12-31,Senior Engineer
96767,Arumugam,Vecchio,1965-01-07,1985-08-14,9999-01-01,Engineer
98306,Ziya,Kadhim,1965-01-16,1999-06-24,9999-01-01,Senior Engineer
99057,Shugo,Reeken,1965-01-30,1999-06-21,9999-01-01,Staff
99373,Xiaobin,Christianini,1965-01-13,1985-12-25,9999-01-01,Staff
99654,Mahendra,Motley,1965-01-30,1985-09-28,9999-01-01,Senior Staff
101902,Mantis,Millington,1965-01-14,1991-03-18,9999-01-01,Senior Staff
103172,Doowon,Highland,1965-01-05,1989-12-28,1995-11-23,Engineer
103196,Djenana,Albarhamtoshy,1965-01-16,1988-07-16,9999-01-01,Senior Staff
103316,Susanne,Peternell,1965-01-03,1994-07-27,9999-01-01,Engineer
104962,Zongyan,Auyong,1965-01-04,1987-11-02,1991-12-22,Engineer
105191,Jaber,Kleiser,1965-01-01,1986-12-13,1987-09-22,Engineer
105356,Diederik,Matzov,1965-01-29,1995-03-08,9999-01-01,Engineer
105520,Haldun,Lienhardt,1965-01-01,1987-01-29,9999-01-01,Senior Staff
106242,Nevio,Thisen,1965-02-01,1988-03-25,9999-01-01,Senior Staff
106514,Otilia,Speek,1965-01-04,1988-07-30,1992-11-07,Senior Engineer
106695,Lijie,Garrabrants,1965-01-31,1985-10-02,1988-10-26,Senior Staff
106710,Babette,Anandan,1965-01-31,1986-11-22,9999-01-01,Senior Staff
106958,Horward,Begiun,1965-01-24,1985-11-06,2002-05-22,Senior Engineer
107486,Siamak,Luiz,1965-01-23,1987-02-11,9999-01-01,Senior Engineer
107737,Fabrizio,Chleq,1965-01-23,1999-07-31,9999-01-01,Senior Engineer
107792,Shahab,Crooks,1965-01-13,1992-03-18,9999-01-01,Senior Staff
108091,Hisao,Ghemri,1965-01-09,1985-11-14,9999-01-01,Senior Staff
108198,Randi,Samarati,1965-01-24,1992-10-20,9999-01-01,Senior Staff
109062,Jamaludin,Kandlur,1965-02-01,1992-06-19,9999-01-01,Senior Engineer
109211,Gor,Delgrande,1965-01-11,1995-11-07,2002-06-18,Engineer
109278,Bangqing,Schach,1965-01-21,1988-03-22,9999-01-01,Senior Staff
109547,Chenye,Zizka,1965-01-04,1986-02-22,2002-04-21,Senior Staff
109553,Xiaobin,DuBourdieux,1965-01-19,1985-09-16,1988-05-11,Staff
109598,Stamatina,Auyong,1965-02-01,1988-07-05,9999-01-01,Senior Staff
109652,Huan,Perko,1965-01-25,1988-07-31,1999-03-12,Senior Staff
109953,Godehard,Chorvat,1965-01-26,1988-04-10,9999-01-01,Senior Staff
200176,Shahab,Luit,1965-01-31,1985-11-20,1997-02-05,Staff
200312,Akemi,Fujisaki,1965-01-27,1998-06-25,2001-11-13,Senior Engineer
200363,Kirk,Quaggetto,1965-01-10,1987-06-30,9999-01-01,Senior Engineer
201229,Alejandra,Khasidashvili,1965-01-03,1994-07-30,9999-01-01,Staff
201709,Fan,Kakkad,1965-01-01,1988-02-25,9999-01-01,Staff
201801,Waiman,Genin,1965-01-12,1988-10-30,9999-01-01,Engineer
202031,Annemarie,Peternell,1965-01-23,1994-03-13,1997-06-05,Engineer
202414,Zvonko,Murthy,1965-01-13,1992-01-07,9999-01-01,Senior Staff
202581,Dharmaraja,Merlo,1965-01-19,1987-06-05,1990-12-16,Staff
202826,Kerhong,Matzke,1965-01-19,1986-11-14,9999-01-01,Engineer
202950,Giordano,Pietrzykowski,1965-01-17,1987-03-26,9999-01-01,Senior Staff
203495,Zongyan,Gips,1965-01-02,1997-05-31,9999-01-01,Technique Leader
203599,Ewing,DiGiano,1965-01-21,2000-02-01,9999-01-01,Technique Leader
203720,Sasan,Thimonier,1965-01-30,1996-08-21,9999-01-01,Senior Staff
204246,Arve,Worfolk,1965-01-09,1985-04-01,9999-01-01,Senior Staff
204425,Gretta,Huttel,1965-01-03,1990-10-08,9999-01-01,Senior Engineer
204471,Franziska,Maginnis,1965-01-27,1986-02-17,9999-01-01,Engineer
205085,Moni,Kornyak,1965-01-23,1991-09-26,9999-01-01,Technique Leader
205174,Leszek,Spinelli,1965-01-05,1998-12-10,9999-01-01,Staff
206748,Yucai,Fabrizio,1965-01-07,1999-10-06,9999-01-01,Staff
206836,Guadalupe,Pfau,1965-01-12,1993-03-22,9999-01-01,Senior Staff
206865,Vasilii,Cochrane,1965-01-28,1991-09-13,2001-04-23,Senior Engineer
206966,Tzu,Sichman,1965-01-21,1987-11-17,9999-01-01,Senior Engineer
207021,Jacqueline,Akaboshi,1965-01-20,1997-12-06,9999-01-01,Engineer
207401,Shuji,Barbanera,1965-01-04,1987-08-10,9999-01-01,Staff
208147,Manu,Rothenberg,1965-01-09,1988-12-06,9999-01-01,Senior Engineer
208330,Shen,Flanders,1965-01-11,1989-07-03,9999-01-01,Senior Staff
208784,Pranjal,Juneja,1965-01-30,1985-03-21,9999-01-01,Senior Engineer
209443,Krassimir,Garnier,1965-01-19,1998-01-26,9999-01-01,Senior Staff
209681,Tianruo,Bratten,1965-01-20,1997-10-10,1998-04-03,Senior Staff
209712,Nimmagadda,Baak,1965-01-17,1987-10-30,9999-01-01,Assistant Engineer
209945,Roded,Veevers,1965-01-27,1990-10-23,1996-01-08,Engineer
210752,Saniya,Stenning,1965-01-25,1986-12-10,9999-01-01,Staff
211569,Zhonghua,Snyers,1965-02-01,1989-04-23,1999-07-18,Staff
211858,Domenico,Ratnaker,1965-01-08,1985-03-24,9999-01-01,Engineer
212154,Sailaja,Holburn,1965-01-17,1991-03-04,9999-01-01,Senior Staff
213384,Pranas,Narwekar,1965-01-04,1985-09-26,9999-01-01,Engineer
214184,Sivanarayana,Ranka,1965-01-11,1999-10-25,2001-05-03,Engineer
214215,Xiaoqiang,Cardazo,1965-01-25,1993-05-28,9999-01-01,Senior Staff
214427,Peer,Molberg,1965-01-29,1996-11-17,9999-01-01,Engineer
214789,Arfst,Chepyzhov,1965-01-28,1989-02-06,9999-01-01,Senior Engineer
214866,Gopalakrishnan,Angel,1965-02-01,1997-07-05,9999-01-01,Engineer
214995,Dinkar,Hoppenstand,1965-01-12,1994-05-04,9999-01-01,Engineer
215629,Munehiro,Manders,1965-01-15,1987-05-18,9999-01-01,Staff
215843,Pramod,Loncour,1965-01-30,1987-03-31,9999-01-01,Senior Staff
216054,Sahrah,Angiulli,1965-01-24,1986-07-31,9999-01-01,Senior Staff
216062,Shuichi,Anick,1965-01-22,1985-11-24,1999-10-26,Senior Engineer
216375,Byong,Gustavson,1965-01-16,1985-03-12,9999-01-01,Senior Engineer
216502,Xiaocheng,Suermann,1965-01-26,1997-12-15,9999-01-01,Engineer
217080,Masami,Puoti,1965-01-12,2000-01-21,9999-01-01,Senior Engineer
217272,Yuchang,Eldridge,1965-01-21,1986-08-01,9999-01-01,Staff
217320,Abdelwaheb,Denis,1965-01-10,1993-09-10,9999-01-01,Engineer
217363,Horward,Marzano,1965-01-14,1996-04-11,9999-01-01,Staff
217387,Jianhao,Molenaar,1965-01-21,1987-10-22,9999-01-01,Engineer
217551,Panayotis,Lukaszewicz,1965-01-02,1989-06-06,9999-01-01,Engineer
